k,T,best_cost,current_cost
2496,4.11555695633404,-320,-300
2497,4.111441399377706,-320,-300
2498,4.107329957978329,-320,-300
2499,4.10322262802035,-320,-300
2500,4.099119405392329,-320,-300
2501,4.095020285986937,-320,-300
2502,4.090925265700951,-320,-300
2503,4.086834340435249,-320,-300
2504,4.082747506094815,-320,-300
2505,4.07866475858872,-320,-300
2506,4.074586093830131,-320,-300
2507,4.070511507736301,-320,-300
2508,4.066440996228565,-320,-300
2509,4.062374555232336,-320,-300
2510,4.058312180677104,-320,-300
2511,4.054253868496427,-320,-300
2512,4.05019961462793,-320,-300
2513,4.046149415013303,-320,-300
2514,4.042103265598289,-320,-300
2515,4.038061162332691,-320,-300
2516,4.034023101170358,-320,-300
2517,4.029989078069188,-320,-300
2518,4.025959088991119,-320,-300
2519,4.021933129902128,-320,-300
2520,4.017911196772225,-320,-300
2521,4.0138932855754526,-320,-300
2522,4.009879392289878,-320,-300
2523,4.005869512897588,-320,-300
2524,4.00186364338469,-320,-300
2525,3.997861779741305,-320,-300
2526,3.993863917961564,-320,-300
2527,3.9898700540436023,-320,-300
2528,3.985880183989559,-320,-300
2529,3.981894303805569,-320,-300
2530,3.977912409501764,-320,-300
2531,3.9739344970922614,-320,-300
2532,3.969960562595169,-320,-300
2533,3.965990602032574,-320,-300
2534,3.9620246114305417,-320,-300
2535,3.958062586819111,-320,-300
2536,3.9541045242322923,-320,-300
2537,3.95015041970806,-320,-300
2538,3.9462002692883518,-320,-300
2539,3.9422540690190635,-320,-300
2540,3.938311814950045,-320,-300
2541,3.934373503135094,-320,-300
2542,3.9304391296319596,-320,-300
2543,3.926508690502327,-320,-300
2544,3.922582181811825,-320,-300
2545,3.918659599630013,-320,-300
2546,3.9147409400303834,-320,-300
2547,3.9108261990903532,-320,-300
2548,3.906915372891263,-320,-300
2549,3.9030084575183714,-320,-300
2550,3.899105449060853,-320,-300
2551,3.8952063436117923,-320,-300
2552,3.8913111372681803,-320,-300
2553,3.887419826130912,-320,-300
2554,3.8835324063047807,-320,-300
2555,3.879648873898476,-320,-300
2556,3.8757692250245777,-320,-300
2557,3.8718934557995537,-320,-300
2558,3.8680215623437535,-320,-300
2559,3.86415354078141,-320,-300
2560,3.8602893872406288,-320,-300
2561,3.856429097853388,-320,-300
2562,3.8525726687555344,-320,-300
2563,3.8487200960867787,-320,-300
2564,3.8448713759906923,-320,-300
2565,3.8410265046147014,-320,-300
2566,3.837185478110087,-320,-300
2567,3.8333482926319764,-320,-300
2568,3.8295149443393446,-320,-300
2569,3.8256854293950053,-320,-300
2570,3.8218597439656103,-320,-300
2571,3.818037884221645,-320,-300
2572,3.814219846337423,-320,-300
2573,3.8104056264910855,-320,-300
2574,3.806595220864595,-320,-300
2575,3.8027886256437298,-320,-300
2576,3.798985837018086,-320,-300
2577,3.7951868511810685,-320,-300
2578,3.791391664329887,-320,-300
2579,3.7876002726655575,-320,-300
2580,3.7838126723928918,-320,-300
2581,3.780028859720499,-320,-300
2582,3.7762488308607782,-320,-300
2583,3.7724725820299176,-320,-300
2584,3.7687001094478876,-320,-300
2585,3.7649314093384394,-320,-300
2586,3.761166477929101,-320,-300
2587,3.7574053114511723,-320,-300
2588,3.753647906139721,-320,-300
2589,3.749894258233581,-320,-300
2590,3.746144363975348,-320,-300
2591,3.7423982196113723,-320,-300
2592,3.7386558213917604,-320,-300
2593,3.7349171655703692,-320,-300
2594,3.7311822484047985,-320,-300
2595,3.727451066156394,-320,-300
2596,3.7237236150902375,-320,-300
2597,3.7199998914751475,-320,-300
2598,3.7162798915836723,-320,-300
2599,3.712563611692089,-320,-300
2600,3.7088510480803962,-320,-300
2601,3.7051421970323157,-320,-300
2602,3.7014370548352833,-320,-300
2603,3.6977356177804483,-320,-300
2604,3.694037882162668,-320,-300
2605,3.6903438442805054,-320,-300
2606,3.6866535004362246,-320,-300
2607,3.682966846935788,-320,-300
2608,3.679283880088853,-320,-300
2609,3.675604596208764,-320,-300
2610,3.671928991612555,-320,-300
2611,3.6682570626209423,-320,-300
2612,3.664588805558321,-320,-300
2613,3.660924216752763,-320,-300
2614,3.65726329253601,-320,-300
2615,3.6536060292434747,-320,-300
2616,3.649952423214231,-320,-300
2617,3.646302470791017,-320,-300
2618,3.6426561683202254,-320,-300
2619,3.6390135121519056,-320,-300
2620,3.635374498639753,-320,-300
2621,3.631739124141114,-320,-300
2622,3.6281073850169725,-320,-300
2623,3.6244792776319557,-320,-300
2624,3.620854798354324,-320,-300
2625,3.61723394355597,-320,-300
2626,3.613616709612413,-320,-300
2627,3.6100030929028013,-320,-300
2628,3.6063930898098984,-320,-300
2629,3.602786696720088,-320,-300
2630,3.599183910023368,-320,-300
2631,3.5955847261133447,-320,-300
2632,3.5919891413872316,-320,-300
2633,3.5883971522458444,-320,-300
2634,3.5848087550935985,-320,-300
2635,3.581223946338505,-320,-300
2636,3.5776427223921665,-320,-300
2637,3.574065079669774,-320,-300
2638,3.5704910145901048,-320,-300
2639,3.566920523575514,-320,-300
2640,3.5633536030519384,-320,-300
2641,3.559790249448887,-320,-300
2642,3.556230459199438,-320,-300
2643,3.552674228740239,-320,-300
2644,3.549121554511498,-320,-300
2645,3.5455724329569867,-320,-300
2646,3.54202686052403,-320,-300
2647,3.5384848336635057,-320,-300
2648,3.534946348829842,-320,-300
2649,3.531411402481013,-320,-300
2650,3.5278799910785317,-320,-300
2651,3.5243521110874534,-320,-300
2652,3.520827758976365,-320,-300
2653,3.517306931217389,-320,-300
2654,3.5137896242861717,-320,-300
2655,3.5102758346618854,-320,-300
2656,3.5067655588272233,-320,-300
2657,3.503258793268396,-320,-300
2658,3.499755534475128,-320,-300
2659,3.496255778940653,-320,-300
2660,3.492759523161712,-320,-300
2661,3.4892667636385504,-320,-300
2662,3.4857774968749116,-320,-300
2663,3.4822917193780367,-320,-300
2664,3.478809427658659,-320,-300
2665,3.4753306182310006,-320,-300
2666,3.4718552876127693,-320,-300
2667,3.4683834323251563,-320,-300
2668,3.464915048892831,-320,-300
2669,3.4614501338439387,-320,-300
2670,3.457988683710095,-320,-300
2671,3.4545306950263845,-320,-300
2672,3.4510761643313583,-320,-300
2673,3.4476250881670265,-320,-300
2674,3.4441774630788595,-320,-300
2675,3.440733285615781,-320,-300
2676,3.437292552330165,-320,-300
2677,3.433855259777835,-320,-300
2678,3.4304214045180568,-320,-300
2679,3.426990983113539,-320,-300
2680,3.4235639921304255,-320,-300
2681,3.420140428138295,-320,-300
2682,3.416720287710157,-320,-300
2683,3.413303567422447,-320,-300
2684,3.409890263855024,-320,-300
2685,3.406480373591169,-320,-300
2686,3.4030738932175777,-320,-300
2687,3.3996708193243603,-320,-300
2688,3.396271148505036,-320,-300
2689,3.392874877356531,-320,-300
2690,3.3894820024791743,-320,-300
2691,3.386092520476695,-320,-300
2692,3.3827064279562182,-320,-300
2693,3.3793237215282623,-320,-300
2694,3.3759443978067343,-320,-300
2695,3.372568453408927,-320,-300
2696,3.3691958849555186,-320,-300
2697,3.3658266890705626,-320,-300
2698,3.3624608623814924,-320,-300
2699,3.3590984015191108,-320,-300
2700,3.3557393031175913,-320,-300
2701,3.352383563814474,-320,-300
2702,3.34903118025066,-320,-300
2703,3.3456821490704085,-320,-300
2704,3.3423364669213385,-320,-300
2705,3.3389941304544175,-320,-300
2706,3.3356551363239624,-320,-300
2707,3.3323194811876387,-320,-300
2708,3.328987161706451,-320,-300
2709,3.3256581745447447,-320,-300
2710,3.3223325163702,-320,-300
2711,3.3190101838538295,-320,-300
2712,3.315691173669976,-320,-300
2713,3.3123754824963063,-320,-300
2714,3.30906310701381,-320,-300
2715,3.305754043906796,-320,-300
2716,3.302448289862889,-320,-300
2717,3.2991458415730266,-320,-300
2718,3.2958466957314534,-320,-300
2719,3.292550849035722,-320,-300
2720,3.2892582981866854,-320,-300
2721,3.2859690398884993,-320,-300
2722,3.2826830708486106,-320,-300
2723,3.279400387777762,-320,-300
2724,3.276120987389984,-320,-300
2725,3.2728448664025946,-320,-300
2726,3.269572021536192,-320,-300
2727,3.2663024495146553,-320,-300
2728,3.263036147065141,-320,-300
2729,3.259773110918076,-320,-300
2730,3.256513337807158,-320,-300
2731,3.2532568244693505,-320,-300
2732,3.250003567644881,-320,-300
2733,3.2467535640772365,-320,-300
2734,3.243506810513159,-320,-300
2735,3.240263303702646,-320,-300
2736,3.237023040398943,-320,-300
2737,3.233786017358544,-320,-300
2738,3.2305522313411856,-320,-300
2739,3.2273216791098442,-320,-300
2740,3.224094357430735,-320,-300
2741,3.220870263073304,-320,-300
2742,3.2176493928102303,-320,-300
2743,3.2144317434174203,-320,-300
2744,3.2112173116740026,-320,-300
2745,3.208006094362329,-320,-300
2746,3.204798088267967,-320,-300
2747,3.201593290179699,-320,-300
2748,3.1983916968895185,-320,-300
2749,3.195193305192629,-320,-300
2750,3.191998111887437,-320,-300
2751,3.1888061137755495,-320,-300
2752,3.185617307661774,-320,-300
2753,3.1824316903541123,-320,-300
2754,3.1792492586637575,-320,-300
2755,3.176070009405094,-320,-300
2756,3.1728939393956894,-320,-300
2757,3.1697210454562934,-320,-300
2758,3.166551324410837,-320,-300
2759,3.1633847730864266,-320,-300
2760,3.1602213883133397,-320,-300
2761,3.1570611669250264,-320,-300
2762,3.153904105758101,-320,-300
2763,3.1507502016523437,-320,-300
2764,3.147599451450691,-320,-300
2765,3.14445185199924,-320,-300
2766,3.141307400147241,-320,-300
2767,3.138166092747094,-320,-300
2768,3.135027926654347,-320,-300
2769,3.1318928987276924,-320,-300
2770,3.1287610058289643,-320,-300
2771,3.125632244823136,-320,-300
2772,3.1225066125783125,-320,-300
2773,3.119384105965734,-320,-300
2774,3.1162647218597685,-320,-300
2775,3.1131484571379087,-320,-300
2776,3.1100353086807706,-320,-300
2777,3.1069252733720902,-320,-300
2778,3.1038183480987183,-320,-300
2779,3.1007145297506193,-320,-300
2780,3.0976138152208685,-320,-300
2781,3.0945162014056478,-320,-300
2782,3.091421685204242,-320,-300
2783,3.0883302635190377,-320,-300
2784,3.0852419332555185,-320,-300
2785,3.0821566913222633,-320,-300
2786,3.079074534630941,-320,-300
2787,3.07599546009631,-320,-300
2788,3.0729194646362137,-320,-300
2789,3.0698465451715777,-320,-300
2790,3.066776698626406,-320,-300
2791,3.0637099219277797,-320,-300
2792,3.0606462120058517,-320,-300
2793,3.057585565793846,-320,-300
2794,3.0545279802280523,-320,-300
2795,3.0514734522478237,-320,-300
2796,3.0484219787955764,-320,-300
2797,3.045373556816781,-320,-300
2798,3.042328183259964,-320,-300
2799,3.0392858550767037,-320,-300
2800,3.0362465692216274,-320,-300
2801,3.0332103226524056,-320,-300
2802,3.030177112329753,-320,-300
2803,3.027146935217423,-320,-300
2804,3.024119788282206,-320,-300
2805,3.0210956684939236,-320,-300
2806,3.01807457282543,-320,-300
2807,3.0150564982526045,-320,-300
2808,3.0120414417543517,-320,-300
2809,3.0090294003125977,-320,-300
2810,3.006020370912285,-320,-300
2811,3.0030143505413727,-320,-300
2812,3.000011336190831,-320,-300
2813,2.99701132485464,-320,-300
2814,2.9940143135297856,-320,-300
2815,2.9910202992162556,-320,-300
2816,2.9880292789170393,-320,-300
2817,2.9850412496381225,-320,-300
2818,2.9820562083884847,-320,-300
2819,2.979074152180096,-320,-300
2820,2.976095078027916,-320,-300
2821,2.973118982949888,-320,-300
2822,2.970145863966938,-320,-300
2823,2.967175718102971,-320,-300
2824,2.964208542384868,-320,-300
2825,2.961244333842483,-320,-300
2826,2.9582830895086407,-320,-300
2827,2.9553248064191324,-320,-300
2828,2.9523694816127133,-320,-300
2829,2.9494171121311004,-320,-300
2830,2.946467695018969,-320,-300
2831,2.9435212273239504,-320,-300
2832,2.9405777060966263,-320,-300
2833,2.93763712839053,-320,-300
2834,2.934699491262139,-320,-300
2835,2.9317647917708767,-320,-300
2836,2.928833026979106,-320,-300
2837,2.925904193952127,-320,-300
2838,2.922978289758175,-320,-300
2839,2.9200553114684165,-320,-300
2840,2.917135256156948,-320,-300
2841,2.914218120900791,-320,-300
2842,2.9113039027798906,-320,-300
2843,2.9083925988771107,-320,-300
2844,2.9054842062782336,-320,-300
2845,2.902578722071955,-320,-300
2846,2.8996761433498834,-320,-300
2847,2.8967764672065335,-320,-300
2848,2.8938796907393267,-320,-300
2849,2.8909858110485875,-320,-300
2850,2.888094825237539,-320,-300
2851,2.8852067304123015,-320,-300
2852,2.882321523681889,-320,-300
2853,2.879439202158207,-320,-300
2854,2.876559762956049,-320,-300
2855,2.8736832031930932,-320,-300
2856,2.8708095199899,-320,-300
2857,2.86793871046991,-320,-300
2858,2.86507077175944,-320,-300
2859,2.8622057009876807,-320,-300
2860,2.859343495286693,-320,-300
2861,2.856484151791406,-320,-300
2862,2.8536276676396146,-320,-300
2863,2.8507740399719754,-320,-300
2864,2.8479232659320033,-320,-300
2865,2.845075342666071,-320,-300
2866,2.842230267323405,-320,-300
2867,2.839388037056082,-320,-300
2868,2.8365486490190257,-320,-300
2869,2.8337121003700068,-320,-300
2870,2.8308783882696362,-320,-300
2871,2.828047509881367,-320,-300
2872,2.8252194623714857,-320,-300
2873,2.822394242909114,-320,-300
2874,2.8195718486662047,-320,-300
2875,2.816752276817539,-320,-300
2876,2.8139355245407214,-320,-300
2877,2.8111215890161807,-320,-300
2878,2.808310467427164,-320,-300
2879,2.8055021569597374,-320,-300
2880,2.8026966548027774,-320,-300
2881,2.7998939581479747,-320,-300
2882,2.7970940641898268,-320,-300
2883,2.794296970125637,-320,-300
2884,2.7915026731555113,-320,-300
2885,2.7887111704823555,-320,-300
2886,2.785922459311873,-320,-300
2887,2.783136536852562,-320,-300
2888,2.780353400315709,-320,-300
2889,2.777573046915393,-320,-300
2890,2.774795473868478,-320,-300
2891,2.7720206783946093,-320,-300
2892,2.7692486577162145,-320,-300
2893,2.7664794090584985,-320,-300
2894,2.76371292964944,-320,-300
2895,2.76094921671979,-320,-300
2896,2.758188267503071,-320,-300
2897,2.755430079235568,-320,-300
2898,2.752674649156332,-320,-300
2899,2.749921974507176,-320,-300
2900,2.747172052532669,-320,-300
2901,2.744424880480136,-320,-300
2902,2.741680455599656,-320,-300
2903,2.738938775144056,-320,-300
2904,2.7361998363689124,-320,-300
2905,2.733463636532543,-320,-300
2906,2.7307301728960107,-320,-300
2907,2.7279994427231147,-320,-300
2908,2.7252714432803913,-320,-300
2909,2.722546171837111,-320,-300
2910,2.719823625665274,-320,-300
2911,2.7171038020396088,-320,-300
2912,2.714386698237569,-320,-300
2913,2.7116723115393313,-320,-300
2914,2.708960639227792,-320,-300
2915,2.7062516785885644,-320,-300
2916,2.703545426909976,-320,-300
2917,2.700841881483066,-320,-300
2918,2.698141039601583,-320,-300
2919,2.695442898561981,-320,-300
2920,2.6927474556634188,-320,-300
2921,2.6900547082077555,-320,-300
2922,2.687364653499548,-320,-300
2923,2.684677288846048,-320,-300
2924,2.6819926115572024,-320,-300
2925,2.6793106189456455,-320,-300
2926,2.6766313083266997,-320,-300
2927,2.673954677018373,-320,-300
2928,2.671280722341354,-320,-300
2929,2.6686094416190134,-320,-300
2930,2.665940832177394,-320,-300
2931,2.6632748913452167,-320,-300
2932,2.6606116164538713,-320,-300
2933,2.6579510048374178,-320,-300
2934,2.6552930538325805,-320,-300
2935,2.652637760778748,-320,-300
2936,2.6499851230179687,-320,-300
2937,2.647335137894951,-320,-300
2938,2.644687802757056,-320,-300
2939,2.642043114954299,-320,-300
2940,2.6394010718393446,-320,-300
2941,2.6367616707675054,-320,-300
2942,2.634124909096738,-320,-300
2943,2.631490784187641,-320,-300
2944,2.6288592934034534,-320,-300
2945,2.6262304341100497,-320,-300
2946,2.62360420367594,-320,-300
2947,2.620980599472264,-320,-300
2948,2.6183596188727916,-320,-300
2949,2.615741259253919,-320,-300
2950,2.613125517994665,-320,-300
2951,2.61051239247667,-320,-300
2952,2.6079018800841935,-320,-300
2953,2.6052939782041094,-320,-300
2954,2.6026886842259054,-320,-300
2955,2.6000859955416797,-320,-300
2956,2.597485909546138,-320,-300
2957,2.5948884236365917,-320,-300
2958,2.592293535212955,-320,-300
2959,2.589701241677742,-320,-300
2960,2.587111540436064,-320,-300
2961,2.5845244288956284,-320,-300
2962,2.5819399044667324,-320,-300
2963,2.5793579645622655,-320,-300
2964,2.5767786065977036,-320,-300
2965,2.574201827991106,-320,-300
2966,2.5716276261631146,-320,-300
2967,2.569055998536952,-320,-300
2968,2.5664869425384147,-320,-300
2969,2.5639204555958766,-320,-300
2970,2.5613565351402805,-320,-300
2971,2.5587951786051404,-320,-300
2972,2.5562363834265347,-320,-300
2973,2.5536801470431083,-320,-300
2974,2.5511264668960654,-320,-300
2975,2.548575340429169,-320,-300
2976,2.5460267650887403,-320,-300
2977,2.5434807383236513,-320,-300
2978,2.5409372575853277,-320,-300
2979,2.5383963203277427,-320,-300
2980,2.5358579240074146,-320,-300
