k,T,best_cost,current_cost
374,30.82329129244406,604.4547229710716,1099.3629912833724
375,30.66955565195051,604.4547229710716,1116.9548561947247
376,30.516586790284496,604.4547229710716,961.5812769089481
377,30.364380883025277,604.4547229710716,1040.6708294791315
378,30.212934124826994,604.4547229710716,1083.5522490849958
379,30.062242729323472,604.4547229710716,991.2013406173764
380,29.91230292903362,604.4547229710716,1044.7609213733992
381,29.76311097526717,604.4547229710716,1126.0164424047668
382,29.614663138031013,604.4547229710716,1143.5571504105008
383,29.466955705935916,604.4547229710716,975.6155549814928
384,29.31998498610374,604.4547229710716,1161.023140325131
385,29.173747304075125,604.4547229710716,1150.677097223041
386,29.02823900371758,604.4547229710716,961.9895003504676
387,28.883456447134126,604.4547229710716,986.2637094732177
388,28.739396014572332,604.4547229710716,1003.0505917988155
389,28.596054104333785,604.4547229710716,1076.0324971609318
390,28.453427132684077,604.4547229710716,886.0745609010811
391,28.311511533763202,604.4547229710716,705.3236048992408
392,28.170303759496385,604.4547229710716,1115.5380605356456
393,28.029800279505405,604.4547229710716,1044.7607770912362
394,27.8899975810203,604.4547229710716,812.9449634650888
395,27.750892168791562,604.4547229710716,1169.9234281878369
396,27.612480565002762,604.4547229710716,1095.3791167352983
397,27.47475930918356,604.4547229710716,1021.1786698705821
398,27.337724958123232,604.4547229710716,1115.768268325578
399,27.201374085784565,604.4547229710716,1130.4021134610316
400,27.065703283218195,604.4547229710716,1112.43243199785
401,26.930709158477402,604.4547229710716,933.3478266782234
402,26.796388336533283,604.4547229710716,1010.4325280052335
403,26.66273745919038,604.4547229710716,960.8441981092152
404,26.529753185002736,604.4547229710716,1047.6140201803705
405,26.397432189190322,604.4547229710716,1127.13268522361
406,26.265771163555947,604.4547229710716,975.0703964048099
407,26.13476681640253,604.4547229710716,1077.1718275846813
408,26.004415872450792,604.4547229710716,975.9788089900868
409,25.874715072757414,604.4547229710716,1069.2582346854037
410,25.74566117463351,604.4547229710716,1035.098107732249
411,25.617250951563577,604.4547229710716,1156.7719137248328
412,25.48948119312483,604.4547229710716,966.3266312534774
413,25.362348704906935,604.4547229710716,844.0559194481547
414,25.23585030843214,604.4547229710716,1037.0329571146935
415,25.109982841075812,604.4547229710716,1022.46396810586
416,24.984743155987374,604.4547229710716,1012.0569571019073
417,24.860128122011616,604.4547229710716,1035.8688557707403
418,24.736134623610422,604.4547229710716,859.8710165272689
419,24.612759560784873,604.4547229710716,861.7794892912597
420,24.489999848997744,604.4547229710716,865.8343580388089
421,24.367852419096398,604.4547229710716,1003.5263756119974
422,24.246314217236023,604.4547229710716,872.9742206318606
423,24.12538220480332,604.4547229710716,859.3443940400161
424,24.0050533583405,604.4547229710716,1101.1988763871393
425,23.885324669469725,604.4547229710716,838.3277935686879
426,23.76619314481786,604.4547229710716,882.2088082244582
427,23.647655805941667,604.4547229710716,925.987962073167
428,23.52970968925332,604.4547229710716,840.3031031239124
429,23.41235184594632,604.4547229710716,906.4767350516687
430,23.295579341921762,604.4547229710716,876.4984951297599
431,23.179389257715,604.4547229710716,960.7637453675499
432,23.063778688422623,604.4547229710716,1035.7202755524684
433,22.948744743629863,604.4547229710716,1027.6790430361266
434,22.834284547338303,604.4547229710716,871.8860501807135
